-2.35,83.825
-2.35,84.625
2.425,84.625
2.425,83.825
20.15,83.825
20.15,84.625
24.925,84.625
24.925,83.825
38.15,83.825
38.15,84.625
42.925,84.625
42.925,83.825
56.15,83.825
56.15,84.625
60.925,84.625
60.925,83.825
74.15,83.825
74.15,84.625
78.925,84.625
78.925,83.825
102.65,83.825
102.65,84.625
107.425,84.625
107.425,83.825
135.65,83.825
135.65,84.625
140.425,84.625
140.425,83.825
164.15,83.825
164.15,84.625
168.925,84.625
168.925,83.825
182.15,83.825
182.15,84.625
186.925,84.625
186.925,83.825
200.15,83.825
200.15,84.625
204.925,84.625
204.925,83.825
218.15,83.825
218.15,84.625
222.925,84.625
222.925,83.825
240.65,83.825
240.65,84.625
245.425,84.625
245.425,83.825
258.65,83.825
258.65,84.625
263.425,84.625
263.425,83.825
276.65,83.825
276.65,84.625
281.425,84.625
281.425,83.825
